stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
PAYTM_minute,1.21,53,0.62,3.12,-2.08,1.15,2.47
CANBK_minute,1.01,31,0.65,2.05,-0.89,1.01,4.18
NUVAMA_minute,0.86,42,0.57,2.8,-2.07,0.71,2.03
BANDHANBNK_minute,0.83,38,0.63,2.49,-1.79,0.91,2.38
POLYMED_minute,0.83,57,0.61,2.17,-1.55,0.73,2.23
INDGN_minute,0.83,25,0.6,2.53,-1.81,0.79,2.33
BANKBARODA_minute,0.82,22,0.55,2.13,-0.77,0.81,3.3
HEG_minute,0.78,57,0.51,3.04,-1.62,0.75,2.1
POWERGRID_minute,0.77,26,0.69,1.64,-1.18,0.77,3.56
MOTILALOFS_minute,0.74,75,0.6,2.56,-1.95,0.76,1.97
MFSL_minute,0.71,27,0.48,2.61,-1.07,0.7,2.27
KIRLOSENG_minute,0.66,47,0.49,2.79,-1.31,0.7,2.04
SHRIRAMFIN_minute,0.66,27,0.63,1.59,-0.73,0.73,3.7
HSCL_minute,0.64,48,0.58,2.2,-1.92,0.48,1.6
PCBL_minute,0.62,72,0.61,2.5,-1.95,0.77,2.02
PETRONET_minute,0.6,43,0.67,1.45,-1.28,0.56,2.53
CAPLIPOINT_minute,0.59,59,0.59,2.08,-1.69,0.55,1.79
SBIN_minute,0.59,21,0.67,1.33,-0.77,0.63,3.46
VOLTAS_minute,0.57,44,0.59,2.12,-1.49,0.64,2.06
FSL_minute,0.53,68,0.56,2.44,-1.93,0.51,1.66
HINDPETRO_minute,0.5,33,0.58,2.15,-1.74,0.5,1.68
KAYNES_minute,0.49,61,0.49,3.31,-2.11,0.55,1.52
UNIONBANK_minute,0.48,57,0.49,2.12,-1.16,0.45,1.76
YESBANK_minute,0.48,56,0.52,2.26,-1.52,0.44,1.66
RCF_minute,0.47,86,0.45,3.07,-1.66,0.48,1.6
CGPOWER_minute,0.47,47,0.47,2.43,-1.22,0.49,1.76
MM_minute,0.47,39,0.64,1.35,-1.26,0.42,2.07
CONCOR_minute,0.46,26,0.54,2.36,-1.89,0.4,1.45
TECHM_minute,0.46,30,0.57,1.89,-1.24,0.53,1.99
SYNGENE_minute,0.46,44,0.61,1.53,-1.25,0.46,2.07
BANKINDIA_minute,0.45,36,0.56,1.77,-1.39,0.36,1.69
LT_minute,0.45,14,0.5,1.76,-0.98,0.39,2.1
KIRLOSBROS_minute,0.45,60,0.48,3.96,-2.41,0.67,1.54
JWL_minute,0.44,70,0.46,3.18,-2.14,0.29,1.32
PERSISTENT_minute,0.43,37,0.59,1.75,-1.7,0.35,1.61
BSE_minute,0.43,67,0.49,3.5,-2.51,0.45,1.48
UPL_minute,0.43,49,0.71,1.12,-1.34,0.42,2.09
HFCL_minute,0.41,67,0.36,4.57,-1.84,0.45,1.45
