stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
PAYTM_minute,1.24,53,0.62,3.12,-1.97,1.2,2.61
CANBK_minute,0.93,31,0.65,2.05,-1.12,0.92,3.32
NUVAMA_minute,0.84,42,0.55,2.85,-1.96,0.67,1.97
BANKBARODA_minute,0.84,22,0.55,2.13,-0.71,0.84,3.62
INDGN_minute,0.83,25,0.6,2.53,-1.81,0.79,2.33
POWERGRID_minute,0.77,26,0.69,1.64,-1.18,0.77,3.56
POLYMED_minute,0.73,57,0.61,2.05,-1.68,0.61,1.94
MOTILALOFS_minute,0.7,75,0.57,2.52,-1.71,0.71,1.98
BANDHANBNK_minute,0.69,38,0.63,2.24,-1.79,0.76,2.15
SHRIRAMFIN_minute,0.66,27,0.63,1.59,-0.73,0.73,3.7
MFSL_minute,0.64,27,0.48,2.61,-1.2,0.63,2.01
KIRLOSENG_minute,0.62,47,0.49,2.88,-1.44,0.68,1.92
CAPLIPOINT_minute,0.61,59,0.59,2.08,-1.66,0.56,1.83
SBIN_minute,0.59,21,0.67,1.33,-0.77,0.63,3.46
HEG_minute,0.58,57,0.47,3.14,-1.72,0.58,1.76
PERSISTENT_minute,0.57,37,0.59,1.75,-1.24,0.54,2.22
VOLTAS_minute,0.57,44,0.59,2.12,-1.49,0.64,2.06
PCBL_minute,0.57,72,0.6,2.46,-1.94,0.69,1.88
JWL_minute,0.54,70,0.46,3.26,-2.04,0.38,1.42
PETRONET_minute,0.53,43,0.65,1.5,-1.4,0.49,2.13
RCF_minute,0.51,86,0.45,3.07,-1.58,0.53,1.68
HSCL_minute,0.5,48,0.54,2.19,-1.95,0.29,1.33
FSL_minute,0.49,68,0.54,2.49,-1.99,0.45,1.54
HINDPETRO_minute,0.48,33,0.58,2.15,-1.77,0.49,1.65
MM_minute,0.47,39,0.64,1.35,-1.26,0.42,2.07
CGPOWER_minute,0.47,47,0.47,2.55,-1.26,0.52,1.78
SYNGENE_minute,0.46,44,0.61,1.53,-1.25,0.46,2.07
BANKINDIA_minute,0.45,36,0.56,1.77,-1.39,0.36,1.69
LT_minute,0.45,14,0.5,1.76,-0.98,0.39,2.1
FACT_minute,0.45,72,0.53,2.81,-2.16,0.46,1.46
TRITURBINE_minute,0.43,67,0.46,3.01,-1.74,0.46,1.49
UPL_minute,0.43,49,0.71,1.12,-1.34,0.42,2.09
DRREDDY_minute,0.43,49,0.61,1.2,-0.82,0.41,2.42
KAYNES_minute,0.43,61,0.49,2.97,-2.01,0.44,1.43
UNIONBANK_minute,0.42,57,0.49,1.98,-1.12,0.4,1.71
RELIANCE_minute,0.42,26,0.65,1.28,-1.15,0.44,2.1
UTIAMC_minute,0.42,48,0.5,2.15,-1.45,0.35,1.55
KIRLOSBROS_minute,0.42,60,0.47,3.92,-2.27,0.62,1.51
TECHM_minute,0.41,30,0.57,1.89,-1.37,0.48,1.8
GRASIM_minute,0.41,40,0.6,1.49,-1.15,0.43,1.93
BBTC_minute,0.39,44,0.55,2.3,-1.97,0.36,1.4
BHARTIHEXA_minute,0.39,34,0.41,3.35,-1.46,0.52,1.61
NEWGEN_minute,0.39,73,0.58,2.46,-2.1,0.52,1.64
DIXON_minute,0.39,56,0.52,1.93,-1.48,0.29,1.41
KEI_minute,0.38,43,0.58,1.67,-1.38,0.39,1.78
