,stock,profitpct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
0,ABFRL,0.24,20,0.35,2.61,-1.03,0.24,1.36
1,AEGISLOG,0.65,34,0.5,2.46,-1.15,0.65,2.13
2,AJANTPHARM,-0.08,28,0.29,2.19,-0.99,-0.08,0.89
3,AXISBANK,0.2,18,0.5,1.55,-1.15,0.2,1.34
4,BAJFINANCE,-0.56,9,0.33,0.93,-1.3,-0.56,0.36
5,BALAMINES,-0.54,11,0.27,0.86,-1.06,-0.54,0.31
6,BHARTIARTL,-0.02,12,0.33,2.49,-1.28,-0.02,0.97
7,CERA,-0.76,18,0.22,0.99,-1.26,-0.76,0.22
8,CHOLAFIN,0.04,20,0.4,1.91,-1.21,0.04,1.05
9,CROMPTON,0.35,12,0.42,2.55,-1.23,0.35,1.48
10,DALBHARAT,0.88,9,0.44,3.21,-0.99,0.88,2.59
11,DEEPAKNTR,0.31,13,0.31,3.29,-1.02,0.31,1.44
12,FINEORG,-0.47,14,0.36,1.59,-1.61,-0.47,0.55
13,GLENMARK,0.16,16,0.44,1.3,-0.74,0.16,1.38
14,GRANULES,0.44,20,0.45,2.57,-1.31,0.44,1.6
15,HCLTECH,1.43,11,0.73,2.25,-0.78,1.43,7.67
16,HDFCBANK,0.9,15,0.47,3.45,-1.52,0.8,2.27
17,HINDCOPPER,0.42,34,0.47,2.2,-1.15,0.42,1.69
18,HINDUNILVR,0.61,6,0.33,3.21,-0.92,0.46,2.32
19,ICICIBANK,0.23,19,0.37,2.99,-1.38,0.23,1.27
20,INDIGO,0.96,17,0.53,3.12,-1.47,0.96,2.39
21,INFY,-0.15,7,0.43,1.63,-1.49,-0.15,0.82
22,ITC,0.94,8,0.5,2.75,-1.17,0.79,3.14
23,JUBLFOOD,0.41,21,0.43,2.8,-1.38,0.41,1.52
24,KEI,-0.28,22,0.41,0.98,-1.16,-0.28,0.59
25,KOTAKBANK,-0.0,10,0.4,1.97,-1.58,-0.16,1.0
26,KPITTECH,0.56,29,0.41,3.1,-1.3,0.52,1.79
27,LEMONTREE,0.48,27,0.48,2.07,-1.0,0.48,1.92
28,LT,0.39,8,0.5,2.35,-1.58,0.39,1.49
29,MARUTI,0.21,3,0.33,1.22,-0.3,0.21,2.05
30,MAZDOCK,-0.15,30,0.33,2.58,-1.52,-0.15,0.85
31,MUTHOOTFIN,0.36,12,0.58,1.4,-1.1,0.36,1.78
32,NTPC,1.24,19,0.63,2.69,-1.24,1.24,3.72
33,PAGEIND,1.65,6,0.67,2.52,-0.19,1.62,53.57
34,PERSISTENT,0.38,18,0.44,2.35,-1.19,0.38,1.57
35,POLYCAB,1.96,22,0.64,3.77,-1.38,1.9,5.45
36,RELIANCE,0.39,7,0.29,3.13,-0.7,0.39,1.79
37,RITES,0.08,17,0.41,1.99,-1.26,0.08,1.11
38,SBIN,0.92,15,0.47,3.57,-1.41,0.92,2.22
39,SRF,-0.19,9,0.44,1.06,-1.18,-0.19,0.72
40,SUNPHARMA,-1.03,16,0.19,0.5,-1.5,-1.13,0.08
41,TATAELXSI,-0.07,11,0.36,1.36,-0.88,-0.07,0.88
42,TATASTEEL,1.0,8,0.5,2.98,-0.98,1.0,3.04
43,TCS,-0.77,6,0.17,1.48,-1.53,-1.03,0.24
44,TEJASNET,-0.44,18,0.33,1.02,-1.18,-0.44,0.44
45,UBL,-0.09,16,0.38,2.04,-1.37,-0.09,0.9
46,ULTRACEMCO,-0.58,5,0.4,0.52,-1.32,-0.58,0.26
47,VOLTAS,1.07,26,0.54,2.94,-1.11,1.07,3.1
48,WIPRO,-0.06,20,0.4,1.43,-1.05,-0.06,0.91
49,ZYDUSLIFE,0.16,11,0.45,2.08,-1.44,0.16,1.2
